timestamp,dataset,ucr_type,resample,n_train,n_test,series_length,n_channels,n_classes,accuracy,balanced_accuracy,n_groups,n_kernels,tabpfn_n_estimators,feature_time,tabpfn_time,total_time,seed,device,n_cpus,gpu_name,host,torch_version,tabpfn_version,aeon_version,notes
2026-09-09T13:57:05+00:00,CinCECGTorso,Sensor,2,40,1380,1639,1,4,0.841304347826087,0.841704227294056,10,50,8|8|8|8|8|8|8|8|8|8,2.57,8.783,11.355,2,cuda,4,NVIDIA A100-SXM4-80GB,gpu203-23-r,2.11.0+cu128,8.1.0,1.5.0,kernel-probe k=50
2026-09-09T13:57:13+00:00,Rock,Spectrum,2,20,50,2844,1,4,0.8,0.8273809523809524,10,50,8|8|8|8|8|8|8|8|8|8,0.25,8.46,8.712,2,cuda,4,NVIDIA A100-SXM4-80GB,gpu203-23-r,2.11.0+cu128,8.1.0,1.5.0,kernel-probe k=50
2026-09-09T13:57:22+00:00,InsectEPGSmallTrain,EPG,2,17,249,601,1,3,0.9477911646586346,0.9498810506237664,10,50,8|8|8|8|8|8|8|8|8|8,0.199,8.668,8.868,2,cuda,4,NVIDIA A100-SXM4-80GB,gpu203-23-r,2.11.0+cu128,8.1.0,1.5.0,kernel-probe k=50
2026-09-09T13:57:31+00:00,FaceFour,Image,2,24,88,350,1,4,0.8863636363636364,0.8986013986013986,10,50,8|8|8|8|8|8|8|8|8|8,0.07,8.407,8.478,2,cuda,4,NVIDIA A100-SXM4-80GB,gpu203-23-r,2.11.0+cu128,8.1.0,1.5.0,kernel-probe k=50
2026-09-09T13:57:39+00:00,BeetleFly,Image,2,20,20,512,1,2,0.95,0.95,10,50,8|8|8|8|8|8|8|8|8|8,0.051,8.32,8.371,2,cuda,4,NVIDIA A100-SXM4-80GB,gpu203-23-r,2.11.0+cu128,8.1.0,1.5.0,kernel-probe k=50
