dataset,task,n_train,n_test,n_features,setting,perm_seed,tabpfn_seed,split_seed,main_metric,score,abs_diff,rel_diff,rmse,mae,r2,max_abs_dpred,mean_abs_dpred,fit_time,predict_time,gpu,column_order,perm_index
ke02_shuffle,regression,100758,25190,7,n_est1,0,42,42,r2,0.9962056740984979,0.0,0.0,300.24891494786027,126.71186736071284,0.9962056740984979,0.0,0.0,0.9605875592678785,4.920620335265994,NVIDIA A100-SXM4-80GB,Choke | DHP | DHT | FLP | FLT | FTHP | FTHT,0 1 2 3 4 5 6
ke02_shuffle,regression,100758,25190,7,n_est1,1,42,42,r2,0.9965602800908119,0.00035460599231396106,0.0003559566076903313,285.87466679557815,125.93001103192319,0.9965602800908119,4502.109375,25.492759481068877,0.47622194327414036,4.435244344174862,NVIDIA A100-SXM4-80GB,FTHP | Choke | DHP | FLT | DHT | FTHT | FLP,5 0 1 4 2 6 3
ke02_shuffle,regression,100758,25190,7,n_est1,2,42,42,r2,0.9967544593567542,0.0005487852582563013,0.0005508754592799491,277.68834836665036,125.75214125797446,0.9967544593567542,6775.59375,22.837236029612445,0.45455003157258034,4.516148991882801,NVIDIA A100-SXM4-80GB,FTHP | FTHT | DHT | FLP | FLT | Choke | DHP,5 6 2 3 4 0 1
ke02_shuffle,regression,100758,25190,7,n_est1,3,42,42,r2,0.9963273876095986,0.00012171351110068507,0.00012217709080088103,295.39400623024585,126.51828538045258,0.9963273876095986,4219.4296875,22.826008972434497,0.4486081078648567,4.439015317708254,NVIDIA A100-SXM4-80GB,FTHP | FTHT | DHT | DHP | FLT | FLP | Choke,5 6 2 1 4 3 0
ke02_shuffle,regression,100758,25190,7,n_est1,4,42,42,r2,0.9965213769001375,0.00031570280163961684,0.00031690524341302067,287.4867409926465,127.43601502268004,0.9965213769001375,5435.578125,26.43145519830538,0.452686857432127,4.436613650992513,NVIDIA A100-SXM4-80GB,DHP | DHT | Choke | FTHP | FLT | FLP | FTHT,1 2 0 5 4 3 6
ke02_shuffle,regression,100758,25190,7,n_est1,5,42,42,r2,0.9962261088205,2.043472200208285e-05,2.0512553314429732e-05,299.4393131332861,126.17549462978617,0.9962261088205,4152.98046875,25.33339266108823,0.4495123140513897,4.439966959878802,NVIDIA A100-SXM4-80GB,DHP | FLT | DHT | FLP | FTHT | FTHP | Choke,1 4 2 3 6 5 0
ke02_2025,regression,101159,24789,7,n_est1,0,42,-1,rmse,2676.325792518857,0.0,0.0,2676.325792518857,1934.94621881079,-2.915628305349098,0.0,0.0,0.43813121132552624,4.425553908571601,NVIDIA A100-SXM4-80GB,Choke | DHP | DHT | FLP | FLT | FTHP | FTHT,0 1 2 3 4 5 6
ke02_2025,regression,101159,24789,7,n_est1,1,42,-1,rmse,2407.9460510911526,268.3797414277042,0.10027917459746756,2407.9460510911526,1788.2443511814613,-2.169691573390032,6225.44921875,253.10504182645275,0.5239447336643934,4.426991315558553,NVIDIA A100-SXM4-80GB,FTHP | Choke | DHP | FLT | DHT | FTHT | FLP,5 0 1 4 2 6 3
ke02_2025,regression,101159,24789,7,n_est1,2,42,-1,rmse,2197.2758343758396,479.0499581430172,0.1789953822072437,2197.2758343758396,1664.8153496201126,-1.6393237085708687,2544.251953125,392.74632948964256,0.44764787517488003,4.4253187123686075,NVIDIA A100-SXM4-80GB,FTHP | FTHT | DHT | FLP | FLT | Choke | DHP,5 6 2 3 4 0 1
ke02_2025,regression,101159,24789,7,n_est1,3,42,-1,rmse,2441.529558960927,234.79623355793,0.08773081147827995,2441.529558960927,1810.4427366005998,-2.2587232059042432,3048.03125,235.39624138667855,0.44323776476085186,4.444061640650034,NVIDIA A100-SXM4-80GB,FTHP | FTHT | DHT | DHP | FLT | FLP | Choke,5 6 2 1 4 3 0
ke02_2025,regression,101159,24789,7,n_est1,4,42,-1,rmse,2531.762743039873,144.56304947898388,0.054015490148128266,2531.762743039873,1839.3482719450753,-2.5040436647199433,4272.35546875,184.4653024259122,0.43952740728855133,4.428633036091924,NVIDIA A100-SXM4-80GB,DHP | DHT | Choke | FTHP | FLT | FLP | FTHT,1 2 0 5 4 3 6
ke02_2025,regression,101159,24789,7,n_est1,5,42,-1,rmse,2702.7219842343716,26.39619171551476,0.0098628469632883,2702.7219842343716,1952.6478751092618,-2.9932476865116437,3082.109375,210.40081416057777,0.439893813803792,4.426610995084047,NVIDIA A100-SXM4-80GB,DHP | FLT | DHT | FLP | FTHT | FTHP | Choke,1 4 2 3 6 5 0
