dataset,task,setting,main_metric,baseline,shuffle_mean,shuffle_std,max_abs_diff,max_rel_diff,meaningful
spambase,classification,default,accuracy,0.9609120521172638,0.9633007600434311,0.001942295745928157,0.004343105320304019,0.004519774011299437,False
spambase,classification,n_est1,accuracy,0.9674267100977199,0.9606948968512488,0.0011894083767756056,0.008686210640608039,0.008978675645342316,False
mfeat_fourier,classification,default,accuracy,0.9075,0.901,0.001369306393762886,0.007499999999999951,0.008264462809917302,False
mfeat_fourier,classification,n_est1,accuracy,0.9025,0.8885,0.005184110338331916,0.01749999999999996,0.01939058171745148,True
superconductivity,regression,default,r2,0.9342201352408351,0.9338698669048625,0.00032402285224682615,0.0008825553447154855,0.0009446974127655353,False
superconductivity,regression,n_est1,r2,0.9328931718843068,0.9317612884548048,0.0011441865758472238,0.0027152797782876714,0.0029106009778195785,False
music_origin,regression,default,r2,0.4890985648671572,0.4977566369105986,0.004373029089671789,0.013640779881229803,0.027889633830626228,True
music_origin,regression,n_est1,r2,0.4907981123840731,0.47367279738460405,0.007772812020016326,0.02565662722256845,0.05227531764117892,True
