timestamp,dataset,ucr_type,resample,n_train,n_test,series_length,n_channels,n_classes,accuracy,balanced_accuracy,n_groups,n_kernels,tabpfn_n_estimators,feature_time,tabpfn_time,total_time,seed,device,n_cpus,gpu_name,host,torch_version,tabpfn_version,aeon_version,notes
2026-09-06T12:47:41+00:00,MiddlePhalanxOutlineAgeGroup,Image,5,400,154,80,1,3,0.7467532467532467,0.6548723488378662,10,1000,10|10|10|10|10|10|10|10|10|10,0.472,29.102,29.577,5,cuda,8,NVIDIA A100-SXM4-80GB,gpu201-16-r,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T12:48:10+00:00,PowerCons,Power,5,180,180,144,1,2,0.95,0.95,10,1000,10|10|10|10|10|10|10|10|10|10,0.548,28.56,29.11,5,cuda,8,NVIDIA A100-SXM4-80GB,gpu201-16-r,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T12:48:38+00:00,ToeSegmentation2,Motion,5,36,130,343,1,2,0.9461538461538461,0.9186320754716981,10,1000,10|10|10|10|10|10|10|10|10|10,0.614,27.494,28.109,5,cuda,8,NVIDIA A100-SXM4-80GB,gpu201-16-r,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T12:49:07+00:00,GunPointMaleVersusFemale,Motion,5,135,316,150,1,2,0.9968354430379747,0.9969879518072289,10,1000,10|10|10|10|10|10|10|10|10|10,0.695,28.525,29.221,5,cuda,8,NVIDIA A100-SXM4-80GB,gpu201-16-r,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T12:49:37+00:00,MiddlePhalanxOutlineCorrect,Image,5,600,291,80,1,2,0.8316151202749141,0.8207951807228915,10,1000,10|10|10|10|10|10|10|10|10|10,0.737,29.363,30.101,5,cuda,8,NVIDIA A100-SXM4-80GB,gpu201-16-r,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T12:50:06+00:00,DiatomSizeReduction,Image,5,16,306,345,1,4,0.9869281045751634,0.984272068511199,10,1000,10|10|10|10|10|10|10|10|10|10,1.116,27.507,28.625,5,cuda,8,NVIDIA A100-SXM4-80GB,gpu201-16-r,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T12:50:35+00:00,InsectEPGSmallTrain,EPG,5,17,249,601,1,3,0.9357429718875502,0.945088312732571,10,1000,10|10|10|10|10|10|10|10|10|10,1.649,27.609,29.26,5,cuda,8,NVIDIA A100-SXM4-80GB,gpu201-16-r,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T12:51:06+00:00,WormsTwoClass,Motion,5,181,77,900,1,2,0.8311688311688312,0.8181818181818181,10,1000,10|10|10|10|10|10|10|10|10|10,2.337,28.49,30.829,5,cuda,8,NVIDIA A100-SXM4-80GB,gpu201-16-r,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T12:51:38+00:00,Computers,Device,5,250,250,720,1,2,0.884,0.884,10,1000,10|10|10|10|10|10|10|10|10|10,3.595,27.983,31.58,5,cuda,8,NVIDIA A100-SXM4-80GB,gpu201-16-r,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T12:52:11+00:00,RefrigerationDevices,Device,5,375,375,720,1,3,0.7653333333333333,0.7653333333333334,10,1000,10|10|10|10|10|10|10|10|10|10,5.259,28.1,33.36,5,cuda,8,NVIDIA A100-SXM4-80GB,gpu201-16-r,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T12:53:37+00:00,Wafer,Sensor,5,1000,6164,152,1,2,0.9987021414665801,0.9979506868644606,10,1000,10|10|10|10|10|10|10|10|10|10,10.436,75.331,85.769,5,cuda,8,NVIDIA A100-SXM4-80GB,gpu201-16-r,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T12:54:19+00:00,SemgHandSubjectCh2,Spectrum,5,450,450,1500,1,5,0.9622222222222222,0.9622222222222223,10,1000,10|10|10|10|10|10|10|10|10|10,13.376,28.377,41.755,5,cuda,8,NVIDIA A100-SXM4-80GB,gpu201-16-r,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T12:57:15+00:00,StarLightCurves,Sensor,5,1000,8236,1024,1,3,0.982030111704711,0.9624114140926822,10,1000,10|10|10|10|10|10|10|10|10|10,92.134,81.911,174.048,5,cuda,8,NVIDIA A100-SXM4-80GB,gpu201-16-r,2.11.0+cu128,8.1.0,1.5.0,a100-reference
