timestamp,dataset,ucr_type,resample,n_train,n_test,series_length,n_channels,n_classes,accuracy,balanced_accuracy,n_groups,n_kernels,tabpfn_n_estimators,feature_time,tabpfn_time,total_time,seed,device,n_cpus,gpu_name,host,torch_version,tabpfn_version,aeon_version,notes
2026-09-06T18:12:01+00:00,Coffee,Spectro,28,28,28,286,1,2,1.0,1.0,10,1000,10|10|10|10|10|10|10|10|10|10,0.213,27.433,27.648,28,cuda,8,NVIDIA A100-SXM4-80GB,gpu203-09-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T18:12:29+00:00,BME,Simulated,28,30,150,128,1,3,1.0,1.0,10,1000,10|10|10|10|10|10|10|10|10|10,0.262,27.473,27.736,28,cuda,8,NVIDIA A100-SXM4-80GB,gpu203-09-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T18:12:57+00:00,Beef,Spectro,28,30,30,470,1,5,0.7,0.7,10,1000,10|10|10|10|10|10|10|10|10|10,0.33,27.351,27.683,28,cuda,8,NVIDIA A100-SXM4-80GB,gpu203-09-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T18:13:25+00:00,SyntheticControl,Simulated,28,300,300,60,1,6,0.9966666666666667,0.9966666666666667,10,1000,10|10|10|10|10|10|10|10|10|10,0.39,28.095,28.487,28,cuda,8,NVIDIA A100-SXM4-80GB,gpu203-09-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T18:13:53+00:00,SonyAIBORobotSurface1,Sensor,28,20,601,70,1,2,0.9633943427620633,0.967930029154519,10,1000,10|10|10|10|10|10|10|10|10|10,0.465,27.424,27.891,28,cuda,8,NVIDIA A100-SXM4-80GB,gpu203-09-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T18:14:23+00:00,ProximalPhalanxOutlineAgeGroup,Image,28,400,205,80,1,3,0.8780487804878049,0.846114081996435,10,1000,10|10|10|10|10|10|10|10|10|10,0.506,29.467,29.975,28,cuda,8,NVIDIA A100-SXM4-80GB,gpu203-09-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T18:14:51+00:00,Meat,Spectro,28,60,60,448,1,3,0.9833333333333333,0.9833333333333334,10,1000,10|10|10|10|10|10|10|10|10|10,0.583,27.574,28.158,28,cuda,8,NVIDIA A100-SXM4-80GB,gpu203-09-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T18:15:20+00:00,Herring,Image,28,64,64,512,1,2,0.625,0.5870445344129555,10,1000,10|10|10|10|10|10|10|10|10|10,0.666,27.495,28.163,28,cuda,8,NVIDIA A100-SXM4-80GB,gpu203-09-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T18:15:48+00:00,Car,Sensor,28,60,60,577,1,4,0.95,0.9483805668016194,10,1000,10|10|10|10|10|10|10|10|10|10,0.753,27.572,28.327,28,cuda,8,NVIDIA A100-SXM4-80GB,gpu203-09-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T18:16:16+00:00,ToeSegmentation1,Motion,28,40,228,277,1,2,0.9429824561403509,0.9444444444444444,10,1000,10|10|10|10|10|10|10|10|10|10,0.754,27.587,28.342,28,cuda,8,NVIDIA A100-SXM4-80GB,gpu203-09-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T18:16:45+00:00,CBF,Simulated,28,30,900,128,1,3,1.0,1.0,10,1000,10|10|10|10|10|10|10|10|10|10,1.176,27.886,29.064,28,cuda,8,NVIDIA A100-SXM4-80GB,gpu203-09-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T18:17:15+00:00,InsectEPGRegularTrain,EPG,28,62,249,601,1,3,0.9518072289156626,0.9550561797752809,10,1000,10|10|10|10|10|10|10|10|10|10,1.896,27.652,29.55,28,cuda,8,NVIDIA A100-SXM4-80GB,gpu203-09-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
