timestamp,dataset,ucr_type,resample,n_train,n_test,series_length,n_channels,n_classes,accuracy,balanced_accuracy,n_groups,n_kernels,tabpfn_n_estimators,feature_time,tabpfn_time,total_time,seed,device,n_cpus,gpu_name,host,torch_version,tabpfn_version,aeon_version,notes
2026-09-01T21:14:07+00:00,ACSF1,Device,17,100,100,1460,1,10,0.87,0.8699999999999999,10,1000,10|10|10|10|10|10|10|10|10|10,3.003,27.707,30.711,17,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-09-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-01T21:14:35+00:00,BeetleFly,Image,17,20,20,512,1,2,0.75,0.75,10,1000,10|10|10|10|10|10|10|10|10|10,0.27,27.272,27.544,17,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-09-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-01T21:15:04+00:00,DistalPhalanxOutlineAgeGroup,Image,17,400,139,80,1,3,0.8129496402877698,0.7738954077937129,10,1000,10|10|10|10|10|10|10|10|10|10,0.455,28.578,29.035,17,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-09-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-01T21:16:20+00:00,ECG5000,ECG,17,500,4500,140,1,5,0.9508888888888889,0.5797303919207892,10,1000,10|10|10|10|10|10|10|10|10|10,6.723,69.259,75.984,17,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-09-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-01T21:16:50+00:00,Fish,Image,17,175,175,463,1,7,0.9371428571428572,0.936477725886593,10,1000,10|10|10|10|10|10|10|10|10|10,1.606,28.712,30.319,17,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-09-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-01T21:17:57+00:00,FreezerRegularTrain,Sensor,17,150,2850,301,1,2,0.9985964912280701,0.9985964912280701,10,1000,10|10|10|10|10|10|10|10|10|10,8.646,57.415,66.064,17,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-09-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-01T21:19:00+00:00,FreezerSmallTrain,Sensor,17,28,2850,301,1,2,0.9982456140350877,0.9982456140350877,10,1000,10|10|10|10|10|10|10|10|10|10,8.329,54.755,63.086,17,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-09-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-01T21:19:28+00:00,Ham,Spectro,17,109,105,431,1,2,0.819047619047619,0.8191721132897603,10,1000,10|10|10|10|10|10|10|10|10|10,0.956,27.662,28.619,17,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-09-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-01T21:19:57+00:00,ItalyPowerDemand,Sensor,17,67,1029,24,1,2,0.9591836734693877,0.9592399927467247,10,1000,10|10|10|10|10|10|10|10|10|10,0.307,27.93,28.239,17,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-09-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-01T21:21:18+00:00,MixedShapesSmallTrain,Image,17,100,2425,1024,1,5,0.9484536082474226,0.9467402787583069,10,1000,10|10|10|10|10|10|10|10|10|10,25.207,55.472,80.681,17,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-09-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-01T21:22:20+00:00,PhalangesOutlinesCorrect,Image,17,1800,858,80,1,2,0.8811188811188811,0.8658264235649824,10,1000,10|10|10|10|10|10|10|10|10|10,2.085,60.473,62.56,17,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-09-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-01T21:22:49+00:00,Plane,Sensor,17,105,105,144,1,7,1.0,1.0,10,1000,10|10|10|10|10|10|10|10|10|10,0.337,28.263,28.602,17,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-09-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-01T21:23:19+00:00,Rock,Spectrum,17,20,50,2844,1,4,0.74,0.6964285714285714,10,1000,10|10|10|10|10|10|10|10|10|10,2.27,27.243,29.514,17,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-09-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-01T21:23:52+00:00,ScreenType,Device,17,375,375,720,1,3,0.696,0.6960000000000001,10,1000,10|10|10|10|10|10|10|10|10|10,5.257,27.995,33.254,17,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-09-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-01T21:24:20+00:00,ShapeletSim,Simulated,17,20,180,500,1,2,1.0,1.0,10,1000,10|10|10|10|10|10|10|10|10|10,1.032,27.345,28.379,17,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-09-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-01T21:24:48+00:00,SmoothSubspace,Simulated,17,150,150,15,1,3,0.96,0.96,10,1000,10|10|10|10|10|10|10|10|10|10,0.089,28.026,28.116,17,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-09-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-01T21:26:11+00:00,UWaveGestureLibraryX,Motion,17,896,3582,315,1,8,0.8604131769960915,0.8590918262377953,10,1000,10|10|10|10|10|10|10|10|10|10,13.48,68.574,82.058,17,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-09-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-01T21:27:34+00:00,UWaveGestureLibraryZ,Motion,17,896,3582,315,1,8,0.8146286990508096,0.8158024465961031,10,1000,10|10|10|10|10|10|10|10|10|10,13.6,69.15,82.753,17,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-09-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-01T21:28:02+00:00,Wine,Spectro,17,57,54,234,1,2,0.9629629629629629,0.962962962962963,10,1000,10|10|10|10|10|10|10|10|10|10,0.3,27.497,27.799,17,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-09-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-01T21:28:33+00:00,Worms,Motion,17,181,77,900,1,5,0.7662337662337663,0.7639160839160839,10,1000,10|10|10|10|10|10|10|10|10|10,2.333,28.724,31.059,17,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-09-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
