timestamp,dataset,ucr_type,resample,n_train,n_test,series_length,n_channels,n_classes,accuracy,balanced_accuracy,n_groups,n_kernels,tabpfn_n_estimators,feature_time,tabpfn_time,total_time,seed,device,n_cpus,gpu_name,host,torch_version,tabpfn_version,aeon_version,notes
2026-09-01T12:35:33+00:00,ACSF1,Device,1,100,100,1460,1,10,0.83,0.8300000000000001,10,1000,10|10|10|10|10|10|10|10|10|10,2.99,27.686,30.678,1,cuda,8,NVIDIA A100-SXM4-80GB,gpu110-02,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-01T12:36:00+00:00,BeetleFly,Image,1,20,20,512,1,2,0.9,0.9,10,1000,10|10|10|10|10|10|10|10|10|10,0.268,27.305,27.574,1,cuda,8,NVIDIA A100-SXM4-80GB,gpu110-02,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-01T12:36:30+00:00,DistalPhalanxOutlineAgeGroup,Image,1,400,139,80,1,3,0.8129496402877698,0.7728523830218745,10,1000,10|10|10|10|10|10|10|10|10|10,0.451,29.061,29.514,1,cuda,8,NVIDIA A100-SXM4-80GB,gpu110-02,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-01T12:38:10+00:00,ECG5000,ECG,1,500,4500,140,1,5,0.9428888888888889,0.5551650517517435,10,1000,10|10|10|10|10|10|10|10|10|10,6.763,93.05,99.817,1,cuda,8,NVIDIA A100-SXM4-80GB,gpu110-02,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-01T12:38:41+00:00,Fish,Image,1,175,175,463,1,7,0.9714285714285714,0.9700061842918986,10,1000,10|10|10|10|10|10|10|10|10|10,1.586,29.852,31.44,1,cuda,8,NVIDIA A100-SXM4-80GB,gpu110-02,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-01T12:39:52+00:00,FreezerRegularTrain,Sensor,1,150,2850,301,1,2,0.9992982456140351,0.9992982456140351,10,1000,10|10|10|10|10|10|10|10|10|10,8.612,61.84,70.454,1,cuda,8,NVIDIA A100-SXM4-80GB,gpu110-02,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-01T12:41:02+00:00,FreezerSmallTrain,Sensor,1,28,2850,301,1,2,0.9982456140350877,0.9982456140350877,10,1000,10|10|10|10|10|10|10|10|10|10,8.266,62.185,70.454,1,cuda,8,NVIDIA A100-SXM4-80GB,gpu110-02,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-01T12:41:31+00:00,Ham,Spectro,1,109,105,431,1,2,0.8761904761904762,0.8758169934640523,10,1000,10|10|10|10|10|10|10|10|10|10,0.954,27.798,28.754,1,cuda,8,NVIDIA A100-SXM4-80GB,gpu110-02,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-01T12:41:59+00:00,ItalyPowerDemand,Sensor,1,67,1029,24,1,2,0.9698736637512148,0.9698762409900721,10,1000,10|10|10|10|10|10|10|10|10|10,0.304,27.912,28.217,1,cuda,8,NVIDIA A100-SXM4-80GB,gpu110-02,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-01T12:43:32+00:00,MixedShapesSmallTrain,Image,1,100,2425,1024,1,5,0.9418556701030928,0.9409876542543343,10,1000,10|10|10|10|10|10|10|10|10|10,25.147,67.158,92.308,1,cuda,8,NVIDIA A100-SXM4-80GB,gpu110-02,2.11.0+cu128,8.1.0,1.5.0,a100-reference
