timestamp,dataset,ucr_type,resample,n_train,n_test,series_length,n_channels,n_classes,accuracy,balanced_accuracy,n_groups,n_kernels,tabpfn_n_estimators,feature_time,tabpfn_time,total_time,seed,device,n_cpus,gpu_name,host,torch_version,tabpfn_version,aeon_version,notes
2026-09-06T18:40:58+00:00,ECG200,ECG,23,100,100,96,1,2,0.91,0.9053819444444444,10,1000,10|10|10|10|10|10|10|10|10|10,0.239,27.881,28.121,23,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-02-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T18:41:26+00:00,GunPoint,Motion,23,50,150,150,1,2,0.9866666666666667,0.986842105263158,10,1000,10|10|10|10|10|10|10|10|10|10,0.345,27.675,28.022,23,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-02-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T18:41:54+00:00,FaceFour,Image,23,24,88,350,1,4,0.9772727272727273,0.9790209790209791,10,1000,10|10|10|10|10|10|10|10|10|10,0.426,27.391,27.82,23,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-02-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T18:42:23+00:00,MiddlePhalanxTW,Image,23,399,154,80,1,6,0.6103896103896104,0.409137022397892,10,1000,10|10|10|10|10|10|10|10|10|10,0.495,28.999,29.495,23,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-02-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T18:42:53+00:00,ProximalPhalanxTW,Image,23,400,205,80,1,6,0.8,0.5736584932480454,10,1000,10|10|10|10|10|10|10|10|10|10,0.528,29.383,29.913,23,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-02-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T18:43:22+00:00,Trace,Sensor,23,100,100,275,1,4,1.0,1.0,10,1000,10|10|10|10|10|10|10|10|10|10,0.594,27.986,28.582,23,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-02-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T18:43:51+00:00,GunPointAgeSpan,Motion,23,135,316,150,1,2,0.9873417721518988,0.9872596153846154,10,1000,10|10|10|10|10|10|10|10|10|10,0.707,28.442,29.151,23,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-02-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T18:44:21+00:00,DistalPhalanxOutlineCorrect,Image,23,600,276,80,1,2,0.8152173913043478,0.8031055900621118,10,1000,10|10|10|10|10|10|10|10|10|10,0.75,29.135,29.887,23,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-02-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T18:44:49+00:00,Lightning2,Sensor,23,60,61,637,1,2,0.8688524590163934,0.8571428571428572,10,1000,10|10|10|10|10|10|10|10|10|10,0.84,27.546,28.388,23,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-02-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T18:45:19+00:00,MoteStrain,Sensor,23,20,1252,84,1,2,0.9241214057507987,0.9195647987675717,10,1000,10|10|10|10|10|10|10|10|10|10,1.119,28.137,29.258,23,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-02-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T18:45:48+00:00,ECGFiveDays,ECG,23,23,861,136,1,2,1.0,1.0,10,1000,10|10|10|10|10|10|10|10|10|10,1.247,28.076,29.325,23,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-02-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T18:46:18+00:00,OSULeaf,Image,23,200,242,427,1,6,0.9710743801652892,0.9693321020766672,10,1000,10|10|10|10|10|10|10|10|10|10,1.921,28.569,30.491,23,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-02-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T18:46:49+00:00,HouseTwenty,Device,23,40,119,2000,1,2,0.9495798319327731,0.9482608695652174,10,1000,10|10|10|10|10|10|10|10|10|10,3.245,27.579,30.825,23,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-02-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T18:47:23+00:00,LargeKitchenAppliances,Device,23,375,375,720,1,3,0.936,0.9359999999999999,10,1000,10|10|10|10|10|10|10|10|10|10,5.53,28.433,33.965,23,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-02-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T18:48:39+00:00,TwoPatterns,Simulated,23,1000,4000,128,1,4,1.0,1.0,10,1000,10|10|10|10|10|10|10|10|10|10,6.472,68.901,75.377,23,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-02-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T18:49:21+00:00,SemgHandMovementCh2,Spectrum,23,450,450,1500,1,6,0.8666666666666667,0.8666666666666667,10,1000,10|10|10|10|10|10|10|10|10|10,13.805,28.334,42.142,23,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-02-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T18:50:43+00:00,UWaveGestureLibraryY,Motion,23,896,3582,315,1,8,0.794249022892239,0.7948528771013236,10,1000,10|10|10|10|10|10|10|10|10|10,14.192,67.666,81.863,23,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-02-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
