timestamp,dataset,ucr_type,resample,transformer,selector,top_n,n_train,n_test,n_classes,pool_features,used_features,components_capped,accuracy,balanced_accuracy,tabpfn_n_estimators,transform_time,select_time,tabpfn_time,total_time,seed,device,n_cpus,gpu_name,host,notes
2026-09-06T14:44:41+00:00,ACSF1,Device,14,MultiRocket,pca,100,100,100,10,49728,100,0,0.83,0.8300000000000001,8,1.085,2.798,1.778,5.661,14,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:44:43+00:00,BeetleFly,Image,14,MultiRocket,pca,100,20,20,2,49728,20,1,0.5,0.5,8,0.156,0.314,1.772,2.242,14,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:44:49+00:00,DistalPhalanxOutlineAgeGroup,Image,14,MultiRocket,pca,100,400,139,3,49728,100,0,0.8201438848920863,0.796117630015935,8,0.225,4.565,1.107,5.897,14,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:45:05+00:00,ECG5000,ECG,14,MultiRocket,pca,100,500,4500,5,49728,100,0,0.9513333333333334,0.5882613227421982,8,4.603,9.074,2.593,16.27,14,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:45:12+00:00,Fish,Image,14,MultiRocket,pca,100,175,175,7,49728,100,0,0.9885714285714285,0.9885803851321092,8,0.455,5.119,1.072,6.646,14,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:45:25+00:00,FreezerRegularTrain,Sensor,14,MultiRocket,pca,100,150,2850,2,49728,100,0,0.9982456140350877,0.9982456140350877,8,3.858,6.074,2.464,12.395,14,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:45:35+00:00,FreezerSmallTrain,Sensor,14,MultiRocket,pca,100,28,2850,2,49728,28,1,0.9270175438596491,0.9270175438596491,8,3.907,1.927,4.598,10.432,14,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:45:41+00:00,Ham,Spectro,14,MultiRocket,pca,100,109,105,2,49728,100,0,0.8476190476190476,0.8496732026143791,8,0.463,0.868,4.024,5.355,14,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:45:45+00:00,ItalyPowerDemand,Sensor,14,MultiRocket,pca,100,67,1029,2,49728,67,1,0.9552964042759962,0.9553356906478081,8,0.408,0.57,3.599,4.577,14,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:45:54+00:00,MixedShapesSmallTrain,Image,14,MultiRocket,pca,100,100,2425,5,49728,100,0,0.9047422680412371,0.9036535435827722,8,5.084,1.176,2.085,8.344,14,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:46:17+00:00,PhalangesOutlinesCorrect,Image,14,MultiRocket,pca,100,1800,858,2,49728,100,0,0.8834498834498834,0.8682830180035732,8,0.898,19.151,2.871,22.92,14,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:46:19+00:00,Plane,Sensor,14,MultiRocket,pca,100,105,105,7,49728,100,0,1.0,1.0,8,0.135,0.829,1.341,2.305,14,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:46:22+00:00,Rock,Spectrum,14,MultiRocket,pca,100,20,50,4,49728,20,1,0.72,0.7103174603174603,8,0.937,0.175,1.666,2.777,14,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:46:32+00:00,ScreenType,Device,14,MultiRocket,pca,100,375,375,3,49728,100,0,0.6853333333333333,0.6853333333333333,8,1.107,7.226,1.044,9.377,14,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:46:34+00:00,ShapeletSim,Simulated,14,MultiRocket,pca,100,20,180,2,49728,20,1,0.9944444444444445,0.9944444444444445,8,0.49,0.803,1.127,2.42,14,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:46:49+00:00,SmoothSubspace,Simulated,14,MultiRocket,pca,100,150,150,3,49728,100,0,0.9733333333333334,0.9733333333333333,8,0.082,14.13,1.003,15.214,14,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:47:15+00:00,UWaveGestureLibraryX,Motion,14,MultiRocket,pca,100,896,3582,8,49728,100,0,0.8858179787828029,0.8846085192460403,8,3.074,19.385,2.687,25.146,14,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:47:30+00:00,UWaveGestureLibraryZ,Motion,14,MultiRocket,pca,100,896,3582,8,49728,100,0,0.8288665549972083,0.8301724492020233,8,4.669,7.467,2.55,14.686,14,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:47:35+00:00,Wine,Spectro,14,MultiRocket,pca,100,57,54,2,49728,57,1,0.9814814814814815,0.9814814814814814,8,0.123,3.443,1.16,4.726,14,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:47:49+00:00,Worms,Motion,14,MultiRocket,pca,100,181,77,5,49728,100,0,0.7662337662337663,0.7316200466200466,8,0.741,12.582,1.102,14.425,14,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
