timestamp,dataset,ucr_type,resample,transformer,selector,top_n,n_train,n_test,n_classes,pool_features,used_features,components_capped,accuracy,balanced_accuracy,tabpfn_n_estimators,transform_time,select_time,tabpfn_time,total_time,seed,device,n_cpus,gpu_name,host,notes
2026-09-06T14:11:13+00:00,ACSF1,Device,5,MultiRocket,pca,100,100,100,10,49728,100,0,0.78,0.78,8,1.223,9.521,1.621,12.365,5,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:11:16+00:00,BeetleFly,Image,5,MultiRocket,pca,100,20,20,2,49728,20,1,0.55,0.55,8,0.154,1.695,1.322,3.171,5,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:11:34+00:00,DistalPhalanxOutlineAgeGroup,Image,5,MultiRocket,pca,100,400,139,3,49728,100,0,0.7122302158273381,0.6766623207301175,8,0.324,13.444,3.896,17.664,5,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:11:53+00:00,ECG5000,ECG,5,MultiRocket,pca,100,500,4500,5,49728,100,0,0.9517777777777777,0.5912991473480445,8,3.653,12.143,3.483,19.278,5,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:12:09+00:00,Fish,Image,5,MultiRocket,pca,100,175,175,7,49728,100,0,0.9942857142857143,0.9948979591836735,8,0.382,14.781,1.091,16.253,5,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:12:28+00:00,FreezerRegularTrain,Sensor,5,MultiRocket,pca,100,150,2850,2,49728,100,0,0.9933333333333333,0.9933333333333334,8,2.727,13.432,2.737,18.896,5,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:12:35+00:00,FreezerSmallTrain,Sensor,5,MultiRocket,pca,100,28,2850,2,49728,28,1,0.9491228070175438,0.9491228070175439,8,2.849,1.837,1.684,6.369,5,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:12:44+00:00,Ham,Spectro,5,MultiRocket,pca,100,109,105,2,49728,100,0,0.6476190476190476,0.6508714596949892,8,0.276,7.075,1.208,8.56,5,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:12:49+00:00,ItalyPowerDemand,Sensor,5,MultiRocket,pca,100,67,1029,2,49728,67,1,0.9708454810495627,0.9708338999954667,8,0.277,4.407,1.06,5.743,5,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:13:04+00:00,MixedShapesSmallTrain,Image,5,MultiRocket,pca,100,100,2425,5,49728,100,0,0.9183505154639175,0.9187306842534546,8,5.074,6.646,2.747,14.467,5,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:13:31+00:00,PhalangesOutlinesCorrect,Image,5,MultiRocket,pca,100,1800,858,2,49728,100,0,0.8671328671328671,0.8494204956708966,8,0.995,22.541,2.804,26.34,5,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:13:39+00:00,Plane,Sensor,5,MultiRocket,pca,100,105,105,7,49728,100,0,1.0,1.0,8,0.137,5.814,2.116,8.066,5,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:13:41+00:00,Rock,Spectrum,5,MultiRocket,pca,100,20,50,4,49728,20,1,0.82,0.8373015873015873,8,0.955,0.22,1.052,2.227,5,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:13:55+00:00,ScreenType,Device,5,MultiRocket,pca,100,375,375,3,49728,100,0,0.6906666666666667,0.6906666666666667,8,1.122,11.355,1.186,13.662,5,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:13:57+00:00,ShapeletSim,Simulated,5,MultiRocket,pca,100,20,180,2,49728,20,1,0.9777777777777777,0.9777777777777777,8,0.489,0.813,1.078,2.38,5,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:14:08+00:00,SmoothSubspace,Simulated,5,MultiRocket,pca,100,150,150,3,49728,100,0,0.9466666666666667,0.9466666666666667,8,0.082,9.483,1.121,10.685,5,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:14:18+00:00,UWaveGestureLibraryX,Motion,5,MultiRocket,pca,100,896,3582,8,49728,100,0,0.8847012841987716,0.8832658922087726,8,3.062,4.001,2.452,9.515,5,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:14:37+00:00,UWaveGestureLibraryZ,Motion,5,MultiRocket,pca,100,896,3582,8,49728,100,0,0.8358458961474037,0.8370503923745984,8,3.013,13.38,2.869,19.262,5,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:14:42+00:00,Wine,Spectro,5,MultiRocket,pca,100,57,54,2,49728,57,1,0.9074074074074074,0.9074074074074074,8,0.117,3.028,1.712,4.857,5,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:14:52+00:00,Worms,Motion,5,MultiRocket,pca,100,181,77,5,49728,100,0,0.7012987012987013,0.6398834498834498,8,0.733,8.263,1.146,10.142,5,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
