timestamp,dataset,ucr_type,resample,transformer,selector,top_n,n_train,n_test,n_classes,pool_features,used_features,components_capped,accuracy,balanced_accuracy,tabpfn_n_estimators,transform_time,select_time,tabpfn_time,total_time,seed,device,n_cpus,gpu_name,host,notes
2026-09-06T15:37:25+00:00,ACSF1,Device,29,MultiRocket,pca,100,100,100,10,49728,100,0,0.76,0.76,8,1.069,8.266,2.695,12.031,29,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T15:37:28+00:00,BeetleFly,Image,29,MultiRocket,pca,100,20,20,2,49728,20,1,0.7,0.7,8,0.215,0.482,2.713,3.41,29,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T15:37:40+00:00,DistalPhalanxOutlineAgeGroup,Image,29,MultiRocket,pca,100,400,139,3,49728,100,0,0.7266187050359713,0.7211067651745617,8,0.301,8.439,3.5,12.241,29,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T15:37:58+00:00,ECG5000,ECG,29,MultiRocket,pca,100,500,4500,5,49728,100,0,0.9413333333333334,0.5676889509680022,8,3.302,10.051,4.247,17.601,29,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T15:38:09+00:00,Fish,Image,29,MultiRocket,pca,100,175,175,7,49728,100,0,0.96,0.9619106263194934,8,0.386,8.787,1.637,10.81,29,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T15:38:29+00:00,FreezerRegularTrain,Sensor,29,MultiRocket,pca,100,150,2850,2,49728,100,0,0.9975438596491228,0.9975438596491228,8,2.703,14.359,3.009,20.071,29,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T15:38:36+00:00,FreezerSmallTrain,Sensor,29,MultiRocket,pca,100,28,2850,2,49728,28,1,0.9347368421052632,0.9347368421052631,8,2.768,2.198,2.028,6.995,29,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T15:38:44+00:00,Ham,Spectro,29,MultiRocket,pca,100,109,105,2,49728,100,0,0.8476190476190476,0.8485838779956427,8,0.27,5.961,1.117,7.348,29,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T15:38:50+00:00,ItalyPowerDemand,Sensor,29,MultiRocket,pca,100,67,1029,2,49728,67,1,0.924198250728863,0.924135273584478,8,0.277,4.409,1.463,6.149,29,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T15:39:05+00:00,MixedShapesSmallTrain,Image,29,MultiRocket,pca,100,100,2425,5,49728,100,0,0.9369072164948453,0.9374684126361185,8,5.076,7.322,2.171,14.569,29,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T15:39:22+00:00,PhalangesOutlinesCorrect,Image,29,MultiRocket,pca,100,1800,858,2,49728,100,0,0.8706293706293706,0.8528276604516927,8,0.968,12.98,2.554,16.502,29,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T15:39:31+00:00,Plane,Sensor,29,MultiRocket,pca,100,105,105,7,49728,100,0,1.0,1.0,8,0.134,6.746,2.096,8.977,29,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T15:39:33+00:00,Rock,Spectrum,29,MultiRocket,pca,100,20,50,4,49728,20,1,0.8,0.8214285714285714,8,0.93,0.469,1.137,2.536,29,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T15:39:47+00:00,ScreenType,Device,29,MultiRocket,pca,100,375,375,3,49728,100,0,0.6693333333333333,0.6693333333333333,8,1.088,11.683,1.171,13.942,29,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T15:39:50+00:00,ShapeletSim,Simulated,29,MultiRocket,pca,100,20,180,2,49728,20,1,0.9888888888888889,0.9888888888888889,8,0.489,0.93,1.29,2.709,29,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T15:40:00+00:00,SmoothSubspace,Simulated,29,MultiRocket,pca,100,150,150,3,49728,100,0,0.98,0.98,8,0.077,8.061,1.513,9.651,29,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T15:40:25+00:00,UWaveGestureLibraryX,Motion,29,MultiRocket,pca,100,896,3582,8,49728,100,0,0.8732551647124511,0.8722400052623265,8,3.089,19.133,2.395,24.617,29,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T15:40:41+00:00,UWaveGestureLibraryZ,Motion,29,MultiRocket,pca,100,896,3582,8,49728,100,0,0.8288665549972083,0.8302930595560085,8,3.048,10.721,2.586,16.355,29,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T15:40:46+00:00,Wine,Spectro,29,MultiRocket,pca,100,57,54,2,49728,57,1,0.8888888888888888,0.8888888888888888,8,0.112,3.01,1.17,4.292,29,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T15:41:01+00:00,Worms,Motion,29,MultiRocket,pca,100,181,77,5,49728,100,0,0.6883116883116883,0.6477622377622378,8,0.724,12.647,1.636,15.006,29,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
