timestamp,dataset,ucr_type,resample,transformer,selector,top_n,n_train,n_test,n_classes,pool_features,used_features,components_capped,accuracy,balanced_accuracy,tabpfn_n_estimators,transform_time,select_time,tabpfn_time,total_time,seed,device,n_cpus,gpu_name,host,notes
2026-09-06T13:59:59+00:00,ACSF1,Device,2,MultiRocket,pca,100,100,100,10,49728,100,0,0.79,0.79,8,0.965,4.092,1.706,6.763,2,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:00:02+00:00,BeetleFly,Image,2,MultiRocket,pca,100,20,20,2,49728,20,1,0.7,0.7,8,0.155,0.447,1.602,2.204,2,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:00:08+00:00,DistalPhalanxOutlineAgeGroup,Image,2,MultiRocket,pca,100,400,139,3,49728,100,0,0.7482014388489209,0.7535853976531942,8,0.207,5.217,1.355,6.779,2,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:00:21+00:00,ECG5000,ECG,2,MultiRocket,pca,100,500,4500,5,49728,100,0,0.9506666666666667,0.564073770249496,8,4.801,4.879,2.766,12.446,2,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:00:35+00:00,Fish,Image,2,MultiRocket,pca,100,175,175,7,49728,100,0,0.9828571428571429,0.9842575650950035,8,0.378,12.165,1.27,13.813,2,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:00:51+00:00,FreezerRegularTrain,Sensor,2,MultiRocket,pca,100,150,2850,2,49728,100,0,0.9954385964912281,0.995438596491228,8,2.728,11.329,2.16,16.217,2,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:00:58+00:00,FreezerSmallTrain,Sensor,2,MultiRocket,pca,100,28,2850,2,49728,28,1,0.9659649122807018,0.9659649122807017,8,2.6,2.542,1.468,6.61,2,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:01:07+00:00,Ham,Spectro,2,MultiRocket,pca,100,109,105,2,49728,100,0,0.780952380952381,0.7843137254901961,8,0.272,7.978,1.072,9.322,2,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:01:13+00:00,ItalyPowerDemand,Sensor,2,MultiRocket,pca,100,67,1029,2,49728,67,1,0.9426627793974732,0.9425971258896595,8,0.292,3.718,1.594,5.604,2,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:01:27+00:00,MixedShapesSmallTrain,Image,2,MultiRocket,pca,100,100,2425,5,49728,100,0,0.937319587628866,0.9361440207966094,8,5.016,5.523,2.478,13.016,2,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:01:45+00:00,PhalangesOutlinesCorrect,Image,2,MultiRocket,pca,100,1800,858,2,49728,100,0,0.8822843822843823,0.8634442713821064,8,0.912,13.873,3.397,18.183,2,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:01:47+00:00,Plane,Sensor,2,MultiRocket,pca,100,105,105,7,49728,100,0,1.0,1.0,8,0.136,0.709,1.113,1.958,2,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:01:49+00:00,Rock,Spectrum,2,MultiRocket,pca,100,20,50,4,49728,20,1,0.68,0.7281746031746033,8,0.916,0.167,0.937,2.02,2,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:02:10+00:00,ScreenType,Device,2,MultiRocket,pca,100,375,375,3,49728,100,0,0.6666666666666666,0.6666666666666666,8,1.084,17.099,2.486,20.669,2,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:02:13+00:00,ShapeletSim,Simulated,2,MultiRocket,pca,100,20,180,2,49728,20,1,0.9,0.9,8,0.518,1.785,1.486,3.789,2,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:02:25+00:00,SmoothSubspace,Simulated,2,MultiRocket,pca,100,150,150,3,49728,100,0,0.9533333333333334,0.9533333333333333,8,0.077,10.652,1.252,11.982,2,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:02:45+00:00,UWaveGestureLibraryX,Motion,2,MultiRocket,pca,100,896,3582,8,49728,100,0,0.8852596314907872,0.8838795025435207,8,3.068,13.392,2.813,19.273,2,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:03:11+00:00,UWaveGestureLibraryZ,Motion,2,MultiRocket,pca,100,896,3582,8,49728,100,0,0.8419877163595757,0.8430323509316289,8,4.921,17.657,2.71,25.289,2,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:03:13+00:00,Wine,Spectro,2,MultiRocket,pca,100,57,54,2,49728,57,1,0.8888888888888888,0.8888888888888888,8,0.114,0.696,1.073,1.883,2,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:03:24+00:00,Worms,Motion,2,MultiRocket,pca,100,181,77,5,49728,100,0,0.7272727272727273,0.670944055944056,8,0.763,6.753,4.069,11.585,2,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
