timestamp,dataset,ucr_type,resample,transformer,selector,top_n,n_train,n_test,n_classes,pool_features,used_features,components_capped,accuracy,balanced_accuracy,tabpfn_n_estimators,transform_time,select_time,tabpfn_time,total_time,seed,device,n_cpus,gpu_name,host,notes
2026-09-06T14:37:48+00:00,ACSF1,Device,12,MultiRocket,pca,100,100,100,10,49728,100,0,0.8,0.8,8,0.981,1.195,2.284,4.46,12,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:37:50+00:00,BeetleFly,Image,12,MultiRocket,pca,100,20,20,2,49728,20,1,0.75,0.75,8,0.158,0.136,1.196,1.49,12,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:38:00+00:00,DistalPhalanxOutlineAgeGroup,Image,12,MultiRocket,pca,100,400,139,3,49728,100,0,0.697841726618705,0.6829784151818049,8,0.342,6.218,3.499,10.059,12,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:38:22+00:00,ECG5000,ECG,12,MultiRocket,pca,100,500,4500,5,49728,100,0,0.9453333333333334,0.5903656620320588,8,4.691,13.946,3.396,22.033,12,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:38:33+00:00,Fish,Image,12,MultiRocket,pca,100,175,175,7,49728,100,0,0.9657142857142857,0.9658592966967351,8,0.403,8.757,1.241,10.401,12,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:38:51+00:00,FreezerRegularTrain,Sensor,12,MultiRocket,pca,100,150,2850,2,49728,100,0,0.9950877192982456,0.9950877192982456,8,3.792,12.199,2.464,18.455,12,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:38:58+00:00,FreezerSmallTrain,Sensor,12,MultiRocket,pca,100,28,2850,2,49728,28,1,0.988421052631579,0.988421052631579,8,3.289,1.791,1.486,6.566,12,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:39:00+00:00,Ham,Spectro,12,MultiRocket,pca,100,109,105,2,49728,100,0,0.7142857142857143,0.7162309368191722,8,0.273,0.742,1.21,2.225,12,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:39:05+00:00,ItalyPowerDemand,Sensor,12,MultiRocket,pca,100,67,1029,2,49728,67,1,0.793002915451895,0.7929189899814135,8,0.275,3.019,1.259,4.553,12,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:39:19+00:00,MixedShapesSmallTrain,Image,12,MultiRocket,pca,100,100,2425,5,49728,100,0,0.9241237113402062,0.9248689586325607,8,5.066,5.84,2.271,13.178,12,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:39:37+00:00,PhalangesOutlinesCorrect,Image,12,MultiRocket,pca,100,1800,858,2,49728,100,0,0.87995337995338,0.859876769435155,8,0.901,12.869,4.804,18.573,12,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:39:40+00:00,Plane,Sensor,12,MultiRocket,pca,100,105,105,7,49728,100,0,1.0,1.0,8,0.182,0.98,1.56,2.722,12,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:39:44+00:00,Rock,Spectrum,12,MultiRocket,pca,100,20,50,4,49728,20,1,0.8,0.8154761904761905,8,0.922,0.267,2.542,3.73,12,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:39:57+00:00,ScreenType,Device,12,MultiRocket,pca,100,375,375,3,49728,100,0,0.664,0.664,8,1.114,11.192,1.112,13.419,12,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:40:02+00:00,ShapeletSim,Simulated,12,MultiRocket,pca,100,20,180,2,49728,20,1,1.0,1.0,8,0.487,1.419,2.684,4.59,12,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:40:07+00:00,SmoothSubspace,Simulated,12,MultiRocket,pca,100,150,150,3,49728,100,0,0.9533333333333334,0.9533333333333333,8,0.075,4.051,1.181,5.307,12,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:40:32+00:00,UWaveGestureLibraryX,Motion,12,MultiRocket,pca,100,896,3582,8,49728,100,0,0.8785594639865997,0.8776266285982085,8,3.105,19.108,2.678,24.89,12,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:40:54+00:00,UWaveGestureLibraryZ,Motion,12,MultiRocket,pca,100,896,3582,8,49728,100,0,0.8408710217755444,0.8418990161695468,8,3.031,15.158,2.603,20.793,12,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:40:59+00:00,Wine,Spectro,12,MultiRocket,pca,100,57,54,2,49728,57,1,0.8703703703703703,0.8703703703703703,8,0.118,3.9,0.986,5.004,12,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:41:14+00:00,Worms,Motion,12,MultiRocket,pca,100,181,77,5,49728,100,0,0.8441558441558441,0.8424825174825175,8,0.722,13.463,1.309,15.494,12,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
