timestamp,dataset,ucr_type,resample,transformer,selector,top_n,n_train,n_test,n_classes,pool_features,used_features,components_capped,accuracy,balanced_accuracy,tabpfn_n_estimators,transform_time,select_time,tabpfn_time,total_time,seed,device,n_cpus,gpu_name,host,notes
2026-09-06T14:41:26+00:00,ACSF1,Device,13,MultiRocket,pca,100,100,100,10,49728,100,0,0.81,0.8100000000000002,8,1.103,3.679,2.459,7.241,13,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:41:30+00:00,BeetleFly,Image,13,MultiRocket,pca,100,20,20,2,49728,20,1,0.5,0.5,8,0.201,0.828,3.536,4.564,13,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:41:39+00:00,DistalPhalanxOutlineAgeGroup,Image,13,MultiRocket,pca,100,400,139,3,49728,100,0,0.6762589928057554,0.6473707083876575,8,0.31,6.236,2.145,8.691,13,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:41:52+00:00,ECG5000,ECG,13,MultiRocket,pca,100,500,4500,5,49728,100,0,0.9464444444444444,0.5681168539487422,8,4.655,5.769,2.695,13.118,13,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:42:10+00:00,Fish,Image,13,MultiRocket,pca,100,175,175,7,49728,100,0,0.96,0.9619106263194934,8,0.39,13.802,3.203,17.394,13,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:42:21+00:00,FreezerRegularTrain,Sensor,13,MultiRocket,pca,100,150,2850,2,49728,100,0,0.9978947368421053,0.9978947368421052,8,3.738,4.479,2.466,10.683,13,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:42:26+00:00,FreezerSmallTrain,Sensor,13,MultiRocket,pca,100,28,2850,2,49728,28,1,0.9947368421052631,0.9947368421052631,8,2.594,0.681,1.611,4.886,13,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:42:32+00:00,Ham,Spectro,13,MultiRocket,pca,100,109,105,2,49728,100,0,0.819047619047619,0.818082788671024,8,0.276,4.864,1.348,6.488,13,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:42:37+00:00,ItalyPowerDemand,Sensor,13,MultiRocket,pca,100,67,1029,2,49728,67,1,0.9611273080660836,0.9611383108935129,8,0.273,3.27,1.506,5.049,13,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:42:47+00:00,MixedShapesSmallTrain,Image,13,MultiRocket,pca,100,100,2425,5,49728,100,0,0.9360824742268041,0.9366757267789547,8,5.516,1.937,2.241,9.694,13,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:43:01+00:00,PhalangesOutlinesCorrect,Image,13,MultiRocket,pca,100,1800,858,2,49728,100,0,0.8752913752913752,0.8532972192954327,8,0.888,10.445,2.323,13.656,13,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:43:05+00:00,Plane,Sensor,13,MultiRocket,pca,100,105,105,7,49728,100,0,1.0,1.0,8,0.131,1.031,2.299,3.461,13,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:43:07+00:00,Rock,Spectrum,13,MultiRocket,pca,100,20,50,4,49728,20,1,0.84,0.8392857142857142,8,0.904,0.216,0.966,2.086,13,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:43:22+00:00,ScreenType,Device,13,MultiRocket,pca,100,375,375,3,49728,100,0,0.6533333333333333,0.6533333333333334,8,1.138,13.101,1.164,15.404,13,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:43:25+00:00,ShapeletSim,Simulated,13,MultiRocket,pca,100,20,180,2,49728,20,1,1.0,1.0,8,0.487,0.627,1.685,2.799,13,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:43:40+00:00,SmoothSubspace,Simulated,13,MultiRocket,pca,100,150,150,3,49728,100,0,0.9666666666666667,0.9666666666666667,8,0.114,13.524,1.079,14.717,13,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:43:51+00:00,UWaveGestureLibraryX,Motion,13,MultiRocket,pca,100,896,3582,8,49728,100,0,0.8911222780569514,0.889967027100409,8,3.103,4.825,2.459,10.387,13,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:44:09+00:00,UWaveGestureLibraryZ,Motion,13,MultiRocket,pca,100,896,3582,8,49728,100,0,0.8472920156337241,0.8481602519768048,8,3.018,13.026,2.559,18.604,13,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:44:15+00:00,Wine,Spectro,13,MultiRocket,pca,100,57,54,2,49728,57,1,0.8333333333333334,0.8333333333333333,8,0.113,4.356,0.979,5.448,13,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
2026-09-06T14:44:30+00:00,Worms,Motion,13,MultiRocket,pca,100,181,77,5,49728,100,0,0.7792207792207793,0.765944055944056,8,0.85,12.413,1.683,14.947,13,cuda,16,NVIDIA A100-SXM4-80GB,gpu201-02-l,a100-reference
